fecha,cod_ine,CCAA,total
2020-02-21,13,Madrid,0
2020-02-22,13,Madrid,0
2020-02-23,13,Madrid,0
2020-02-24,13,Madrid,0
2020-02-25,13,Madrid,0
2020-02-26,13,Madrid,0
2020-02-27,13,Madrid,0
2020-02-28,13,Madrid,0
2020-02-29,13,Madrid,0
2020-03-01,13,Madrid,0
2020-03-02,13,Madrid,0
2020-03-03,13,Madrid,0
2020-03-04,13,Madrid,0
2020-03-05,13,Madrid,0
2020-03-06,13,Madrid,0
2020-03-07,13,Madrid,0
2020-03-08,13,Madrid,0
2020-03-09,13,Madrid,0
2020-03-10,13,Madrid,0
2020-03-11,13,Madrid,0
2020-03-12,13,Madrid,0
2020-03-13,13,Madrid,1304
2020-03-14,13,Madrid,1518
2020-03-15,13,Madrid,2337
2020-03-16,13,Madrid,2337
2020-03-17,13,Madrid,3710
2020-03-18,13,Madrid,3778
2020-03-19,13,Madrid,5168
2020-03-20,13,Madrid,6338
2020-03-21,13,Madrid,7388
2020-03-22,13,Madrid,8441
2020-03-23,13,Madrid,9561
2020-03-24,13,Madrid,10443
2020-03-25,13,Madrid,11153
2020-03-26,13,Madrid,12440
2020-03-27,13,Madrid,13580
2020-03-28,13,Madrid,14211
2020-03-29,13,Madrid,14454
2020-03-30,13,Madrid,14917
2020-03-31,13,Madrid,15140
2020-04-01,13,Madrid,15227
2020-04-02,13,Madrid,15227
2020-04-03,13,Madrid,15050
2020-04-04,13,Madrid,14741
2020-04-05,13,Madrid,14551
2020-04-06,13,Madrid,14501
2020-04-07,13,Madrid,13950
2020-04-08,13,Madrid,13289
2020-04-09,13,Madrid,12853
2020-04-10,13,Madrid,12432
2020-04-11,13,Madrid,11894
2020-04-12,13,Madrid,11424
2020-04-13,13,Madrid,11233
2020-04-14,13,Madrid,10753
2020-04-15,13,Madrid,10116
2020-04-16,13,Madrid,9653
2020-04-17,13,Madrid,9141
2020-04-18,13,Madrid,8597
2020-04-19,13,Madrid,8291
2020-04-20,13,Madrid,8191
2020-04-21,13,Madrid,7930
2020-04-22,13,Madrid,7464
2020-04-23,13,Madrid,7077
2020-04-24,13,Madrid,6601
2020-04-25,13,Madrid,6183
2020-04-26,13,Madrid,5892
2020-04-27,13,Madrid,39472
2020-04-28,13,Madrid,39634
2020-04-29,13,Madrid,39850
2020-04-30,13,Madrid,40076
2020-05-01,13,Madrid,40293
2020-05-02,13,Madrid,40457
2020-05-03,13,Madrid,40597
2020-05-04,13,Madrid,40741
2020-05-05,13,Madrid,40851
2020-05-06,13,Madrid,41031
2020-05-07,13,Madrid,41159
2020-05-08,13,Madrid,41304
2020-05-09,13,Madrid,41436
2020-05-10,13,Madrid,41559
2020-05-11,13,Madrid,41650
2020-05-12,13,Madrid,41735